Causas (lista reducida);Sexo;Nacionalidad;Total
001-102 I-XXII.Todas las causas;Mujeres;Brasil;51
001-102 I-XXII.Todas las causas;Mujeres;Colombia;97
001-102 I-XXII.Todas las causas;Mujeres;Cuba;63
001-102 I-XXII.Todas las causas;Mujeres;Ecuador;43
001-102 I-XXII.Todas las causas;Mujeres;Estados Unidos de América;69
001-102 I-XXII.Todas las causas;Mujeres;Perú;51
001-102 I-XXII.Todas las causas;Mujeres;Uruguay;53
001-102 I-XXII.Todas las causas;Mujeres;Resto de AMÉRICA;210
001-102 I-XXII.Todas las causas;Mujeres;PAÍSES DE ASIA;133
001-102 I-XXII.Todas las causas;Mujeres;China;44
001-102 I-XXII.Todas las causas;Mujeres;Resto de ASIA;89
001-102 I-XXII.Todas las causas;Mujeres;Resto de PAÍSES;3
001-102 I-XXII.Todas las causas;Mujeres;No consta;8
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Total de defunciones;7.033
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;PAÍSES DE EUROPA;6.950
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Países de la UE-27;6.937
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Alemania;27
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Austria;0
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Bélgica;9
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Bulgaría;3
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Dinamarca;3
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;España;6.754
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Finlandia;0
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Francia;18
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Irlanda;2
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Italia;20
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Países Bajos;9
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Polonia;2
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Portugal;8
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Reino Unido;57
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Rumanía;15
